http://localhost:8888/articles/us-accepting-fewer-syrian/112.php|Article - Outrage|Headline - |trust_5b18c870d3a73||06/07/2018 2:53:53 AM|Page View|Why-did-Fed-chair-slam-critics,-say-banking-regulations-are-tough-enough?|Loaded
http://localhost:8888/articles/us-accepting-fewer-syrian/112.php|Article - Outrage|Headline - |trust_5b18c870d3a73||06/07/2018 2:54:25 AM|Page View|The-U.S.-is-accepting-fewer-Syrian-refugees:-Should-we-be-taking-more?|Loaded
http://localhost:8888/articles/us-accepting-fewer-syrian/112.php|Article - Outrage|Headline - |trust_5b18c870d3a73||06/07/2018 2:54:31 AM|click|Link: Like|page-link
http://localhost:8888/articles/us-accepting-fewer-syrian/112.php|Article - Outrage|Headline - |trust_5b18c870d3a73||06/07/2018 2:54:31 AM|click|Link: Share|page-link
http://localhost:8888/articles/us-accepting-fewer-syrian/112.php|Article - Outrage|Headline - |trust_5b18c870d3a73||06/07/2018 2:54:32 AM|click|Link: UnLike|page-link
http://localhost:8888/articles/us-accepting-fewer-syrian/112.php|Article - Outrage|Headline - |trust_5b18c870d3a73||06/07/2018 2:54:33 AM|click|Link: UnShare|page-link
http://localhost:8888/articles/us-accepting-fewer-syrian/212.php|Article - Outrage|Headline - |trust_5b18c870d3a73||06/07/2018 2:54:35 AM|Page View|The-U.S.-is-accepting-fewer-Syrian-refugees:-Should-we-be-taking-more?|Loaded
http://localhost:8888/articles/us-accepting-fewer-syrian/212.php|Article - Outrage|Headline - |trust_5b18c870d3a73||06/07/2018 2:55:03 AM|Page View|The-U.S.-is-accepting-fewer-Syrian-refugees:-Should-we-be-taking-more?|Loaded
http://localhost:8888/articles/us-accepting-fewer-syrian/212.php|Article - Outrage|Headline - |trust_5b18c870d3a73||06/07/2018 2:55:30 AM|Page View|The-U.S.-is-accepting-fewer-Syrian-refugees:-Should-we-be-taking-more?|Loaded
http://localhost:8888/articles/us-accepting-fewer-syrian/212.php|Article - Outrage|Headline - |trust_5b18c870d3a73||06/07/2018 2:55:39 AM|Page View|The-U.S.-is-accepting-fewer-Syrian-refugees:-Should-we-be-taking-more?|Loaded
http://localhost:8888/articles/us-accepting-fewer-syrian/212.php|Article - Outrage|Headline - |trust_5b18c870d3a73||06/07/2018 2:55:50 AM|Page View|The-U.S.-is-accepting-fewer-Syrian-refugees:-Should-we-be-taking-more?|Loaded
http://localhost:8888/articles/us-accepting-fewer-syrian/212.php|Article - Outrage|Headline - |trust_5b18c870d3a73||06/07/2018 2:56:03 AM|Page View|The-U.S.-is-accepting-fewer-Syrian-refugees:-Should-we-be-taking-more?|Loaded
http://localhost:8888/articles/us-accepting-fewer-syrian/112.php|Article - Outrage|Headline - |trust_5b18c870d3a73||06/07/2018 2:56:11 AM|Page View|The-U.S.-is-accepting-fewer-Syrian-refugees:-Should-we-be-taking-more?|Loaded
